"","20634274.G","24664996.G","35592862.G","55583441.G","21000216.G","24073245.G","1797756.G","17260313.G","94549523.G","38056377.G"
"ENSG00000268396",0,0,0,0,0,0,0,0,0,0
"ENSG00000167863",271.445,141.64,170.959,109.061,270.964,192.618,214.518,123.581,156.108,198.378
"ENSG00000214035",0.151169,3.19266,0,0,0,0,0,0,0,0
"ENSG00000258116",0,0,0,0,0,0,0,0.703263,0,0
"ENSG00000263790",0,0,0,0,0,0,0,0,0,0
"ENSG00000103353",3.58866,17.571,6.2465,8.92399,0.629581,7.65294,5.4086,7.01967,0,3.79374
"ENSG00000252122",0,0,0,0,0,0,0,0,0,0
"ENSG00000229666",0,0,0.245159,0,0,0,0,0,0,0.220933
"ENSG00000264946",0,0,0,0,0,0,0,0,0,0.614353
"ENSG00000213434",0,0,0,0,0,0,0,0,0,0
"ENSG00000167528",18.6767,26.5402,15.1359,13.9443,2.60988,18.1968,18.0231,24.8651,0.503431,11.0124
"ENSG00000124479",0,0,0.25584,0,0,0.764815,0,0,0,0.116463
"ENSG00000255627",0,1.99024,0,0,0,0,0,0,0,0.577051
"ENSG00000179152",23.8279,45.9794,19.5066,17.4548,1.79527,16.3034,19.7181,11.247,2.78555,24.2578
"ENSG00000136161",33.5321,27.6498,50.2845,90.276,101.206,119.556,34.8479,143.064,18.452,26.5041
"ENSG00000178662",0.0837192,1.03487,0.0592344,0.930617,0,0,0,0,0,0.0540195
"ENSG00000230796",0,0,0,0,0,0,0,0,0,0
"ENSG00000270182",0,0,0.329254,0,0,0,0,0,0,0
"ENSG00000186767",3.12595,2.89128,4.60481,1.74903,0,1.43353,4.02303,2.08991,0,4.10892
"ENSG00000248913",0,0,0,0,0,0,0,0,0,0
"ENSG00000228464",0,0,0,0,0,0,0,0,0,0
"ENSG00000187474",9.40391,15.9515,23.0127,10.9087,0,18.6241,12.2445,13.47,1.62156,30.3907
"ENSG00000260957",0,0,0,0,0,0,0,0,0,0.489542
"ENSG00000237206",0,0,0.104593,0,0,0,0,0.144481,0,0
"ENSG00000271234",0,1.1032,0,0,0,0,0,0,28.2582,0
"ENSG00000207168",16.275,23.8252,0,0,0,36.7969,14.8518,57.3484,0,0
"ENSG00000266694",0,0,2.80283,0,0,0,0,0,0,0
"ENSG00000260252",3.91328,3.8319,1.71008,8.81389,0,3.70047,0,1.13355,0,4.50273
"ENSG00000178307",29.3423,26.4977,40.6698,36.3189,55.5736,36.5622,29.891,31.7457,26.3351,21.5286
"ENSG00000237207",0,0,0,0,0,0,0,0,0,0
"ENSG00000231188",0.484928,0,0,0,0,0,0,0,0,0
"ENSG00000241400",0,1.99221,0,0,0,0,0,0,62.3489,0
"ENSG00000226582",0,0,0,0,0,0,0,0.94246,0,1.2465
"ENSG00000186364",13.2757,8.09902,15.9564,17.6629,28.5703,20.4398,20.4026,30.0613,40.6159,17.8071
"ENSG00000131050",0,1.56993,0,0,0,0,0,0,0,0
"ENSG00000260658",0,0.894022,0,0,0,0,0,0,0,0
"ENSG00000237580",1.41297,1.00928,0.228877,0,0,7.29339,1.18355,3.3862,0,3.53969
"ENSG00000185619",31.0605,42.1453,43.0656,67.4066,25.262,36.8738,46.4001,53.5421,14.9515,23.0316
"ENSG00000065978",49.7955,34.9718,66.0263,18.4872,32.3915,42.8642,47.0676,24.4877,20.8016,58.0563
"ENSG00000270906",0,0,0,0,0,0,0,0,0,0
"ENSG00000214883",0.149514,0,0,0,0,0,0,0,0,0
"ENSG00000224198",0,12.0877,0,0,0,0,0,0,0,0
"ENSG00000234436",0,0,0,0,0.493981,0.77209,0,0,7.29033,0
"ENSG00000146463",13.4104,11.0852,19.5771,5.17564,11.4502,10.2837,9.71235,10.2462,16.7748,11.7848
"ENSG00000147697",0,0.264693,0,0,0,0,0,0,8.16888,0.0251906
"ENSG00000169246",118.581,230.498,244.265,154.975,60.2404,159.036,146.395,183.857,182.134,187.05
"ENSG00000225354",0,0,0,0,0,0,0.292768,0,0,0
"ENSG00000273185",0,2.54455,0.216013,0,0,0,0,0.148002,0,0.487572
"ENSG00000264451",0,0,0,0,0,0,0,0,0,0.127383
"ENSG00000215520",0,0,0,0,0,0,0,0,0,0
"ENSG00000235390",0,0,0,0,0,0,0,0.233013,0,0
"ENSG00000199640",0,0,0,0,0,0,0,0,0,0
