"ImageNumber","ObjectNumber","Metadata_FileLocation","Metadata_Frame","Metadata_ImageNumber","Metadata_Label","Metadata_Series","Metadata_subject","AreaShape_Area","AreaShape_Center_X","AreaShape_Center_Y","AreaShape_Compactness","AreaShape_Eccentricity","AreaShape_EulerNumber","AreaShape_Extent","AreaShape_FormFactor","AreaShape_MajorAxisLength","AreaShape_MaxFeretDiameter","AreaShape_MaximumRadius","AreaShape_MeanRadius","AreaShape_MedianRadius","AreaShape_MinFeretDiameter","AreaShape_MinorAxisLength","AreaShape_Orientation","AreaShape_Perimeter","AreaShape_Solidity","Children_NucleiPositiveTMEM_Count","Children_Nuclei_Count","Children_VASPr_Count","Children_VaspPositiveTMEM_Count","Intensity_IntegratedIntensityEdge_TMEM119","Intensity_IntegratedIntensityEdge_VASP","Intensity_IntegratedIntensity_TMEM119","Intensity_IntegratedIntensity_VASP","Intensity_LowerQuartileIntensity_TMEM119","Intensity_LowerQuartileIntensity_VASP","Intensity_MADIntensity_TMEM119","Intensity_MADIntensity_VASP","Intensity_MassDisplacement_TMEM119","Intensity_MassDisplacement_VASP","Intensity_MaxIntensityEdge_TMEM119","Intensity_MaxIntensityEdge_VASP","Intensity_MaxIntensity_TMEM119","Intensity_MaxIntensity_VASP","Intensity_MeanIntensityEdge_TMEM119","Intensity_MeanIntensityEdge_VASP","Intensity_MeanIntensity_TMEM119","Intensity_MeanIntensity_VASP","Intensity_MedianIntensity_TMEM119","Intensity_MedianIntensity_VASP","Intensity_MinIntensityEdge_TMEM119","Intensity_MinIntensityEdge_VASP","Intensity_MinIntensity_TMEM119","Intensity_MinIntensity_VASP","Intensity_StdIntensityEdge_TMEM119","Intensity_StdIntensityEdge_VASP","Intensity_StdIntensity_TMEM119","Intensity_StdIntensity_VASP","Intensity_UpperQuartileIntensity_TMEM119","Intensity_UpperQuartileIntensity_VASP","Location_CenterMassIntensity_X_TMEM119","Location_CenterMassIntensity_X_VASP","Location_CenterMassIntensity_Y_TMEM119","Location_CenterMassIntensity_Y_VASP","Location_Center_X","Location_Center_Y","Location_MaxIntensity_X_TMEM119","Location_MaxIntensity_X_VASP","Location_MaxIntensity_Y_TMEM119","Location_MaxIntensity_Y_VASP","Number_Object_Number"
1,1,NA,0,1,NA,0,16127615,2054,413,80,1.87652921716779,0.897954508707991,1,0.450636243966652,0.132785241022395,90.5664190854004,94.4139820153774,12.0415945787923,4.09628924462453,3.60555127546399,46.1692538384583,39.8572202284734,-75.6175601728384,440.889999999999,0.664724919093851,1,0,1,1,19.8078438416123,34.2745108231902,104.007846444845,155.615691227838,0.0405228771269321,0.0470588244497776,0.00784313678741455,0.0209150351583958,1.67233698260446,3.37619097465336,0.077124185860157,0.186928108334541,0.117647066712379,0.186928108334541,0.0404241711053313,0.0699479812718168,0.0506367314726608,0.0757622644731443,0.0470588244497776,0.062745101749897,0.0274509806185961,0.0183006543666124,0.0235294122248888,0.0183006543666124,0.00655252174050221,0.0419728159172134,0.0140027874490553,0.0370900419119132,0.0575163401663303,0.0993464067578316,416.829311515098,420.665885482929,61.4666817458181,61.5689481499491,417.666504381694,60.0189873417722,415,436,85,49,1
1,2,NA,0,1,NA,0,16127615,1365,1927,158,1.40781935382365,0.756310058458608,1,0.451837140019861,0.146839920868477,58.5028577301078,60.4152298679729,11.4017542509914,3.91543604816853,3.16227766016838,41.677441968701,38.273350010619,37.601292800862,341.781999999999,0.686965274282838,1,0,0,0,15.0901966001838,18.2758176252246,65.5986950807273,68.035296427086,0.0392156876623631,0.0352941192686558,0.00653594732284546,0.00522875785827637,1.28897777886685,3.01849171885011,0.0732026174664497,0.175163403153419,0.107189543545246,0.175163403153419,0.0412300453556936,0.0499339279377721,0.0480576520737929,0.0498427080051912,0.0444444455206394,0.0392156876623631,0.026143791154027,0.0209150332957506,0.0209150332957506,0.0209150332957506,0.00635518658102946,0.033036550385972,0.0119554893485312,0.0275568719751073,0.0535947717726231,0.0496732033789158,1933.98178667693,1938.13977751211,169.039953767655,169.005533466496,1935.16923076923,169.541391941392,1923,1953,181,167,2
1,3,NA,0,1,NA,0,16127615,1909,3598,309,1.15543947367595,0.714093658881663,1,0.631283068783069,0.351369099983572,61.3513417709309,66.4830805543786,18.1107702762748,6.40989157796738,5.65685424949238,45.679098064651,42.9490174918455,-86.3826547508797,261.292,0.846563192904656,1,1,0,0,10.4771245922893,12.347712774761,78.7111139115877,105.158172934316,0.0339869298040867,0.0457516349852085,0.00653594732284546,0.00915032997727394,0.281019457824795,1.82010925938053,0.0653594806790352,0.0875817015767097,0.107189543545246,0.105882354080677,0.0362530262708973,0.0427256497396575,0.0412315945058081,0.0550854756072897,0.0405228771269321,0.0549019612371922,0.0235294122248888,0.0130718955770135,0.00653594778850675,0.0130718955770135,0.00603135509034175,0.0140743149458178,0.0111233741890885,0.0143603166555949,0.0470588244497776,0.0640522912144661,3597.11660077602,3597.85494618428,303.363686194105,304.761206305396,3597.14719748559,303.084337349398,3602,3606,299,320,3
1,4,NA,0,1,NA,0,16127615,2981,3106,370,1.49516314411687,0.851267925416815,1,0.466510172143975,0.291125353771757,94.2146817674665,93.3005894943864,21.9317121994613,6.79543607535391,5.65685424949238,56.4123718018281,49.4373908231205,-34.6090958148991,358.711999999999,0.760362198699146,1,1,0,0,15.9084972962737,15.9307194016874,185.857522586361,171.101966232061,0.0470588244497776,0.0392156876623631,0.01437908411026,0.0169934667646885,0.775086291933955,2.70915444094305,0.0640522912144661,0.0797385647892952,0.132026150822639,0.126797392964363,0.0394751793952201,0.0395303210959985,0.0623473742322578,0.057397506283818,0.062745101749897,0.0562091507017612,0.0196078438311815,0.0169934649020433,0.0183006543666124,0.0169934649020433,0.00548756944544992,0.0106586452003741,0.0178112037179522,0.0209092822310133,0.0758169963955879,0.0745098069310188,3096.71798622901,3098.83000620126,378.755522875345,379.158778534338,3096.12244213351,379.251593425025,3119,3096,359,389,4
1,5,NA,0,1,NA,0,16127615,1869,3162,425,1.32516620062466,0.563742538088482,1,0.430645161290323,0.159115866241649,61.1811028603749,72.1248916810278,12.369316876853,4.31088769925657,4,52.3002293538092,50.532567027651,-71.4756537414433,384.195999999999,0.663236337828247,1,1,0,0,16.5084972940385,13.3150330996141,92.5333365686238,60.2235312946141,0.037908498197794,0.0274509806185961,0.00784313678741455,0.00653594732284546,0.500912819793445,2.19513814329658,0.0718954280018806,0.0470588244497776,0.120261445641518,0.0562091507017612,0.0398755973285955,0.0321619156995509,0.0495095433754006,0.0322223281405105,0.0444444455206394,0.0326797403395176,0.0222222227603197,0.0130718955770135,0.0156862754374743,0.0104575166478753,0.00640888466610175,0.00643059768651302,0.0160226583995512,0.00810665041954145,0.0575163401663303,0.0392156876623631,3171.66483019477,3171.02678472449,419.050615937255,421.035944542571,3172.15516318887,419.153023006956,3161,3183,427,443,5
1,6,NA,0,1,NA,0,16127615,1491,1164,440,1.09998655506173,0.562994382919719,1,0.537684817886765,0.4010227315701,49.7930490216136,62.393909959226,18.0277563773199,6.22642450470955,5.09901951359278,42.4,41.1519992387208,-51.4017620715677,216.152,0.796261682242991,1,1,1,1,10.8797389082611,18.5594777949154,73.5830088322982,165.60523532331,0.0405228771269321,0.0784313753247261,0.00653594732284546,0.0261437892913818,0.509382432900679,1.83286882387717,0.0745098069310188,0.163398697972298,0.128104582428932,0.18823529779911,0.0440475259443768,0.0751395862142325,0.0493514479089861,0.111069909673581,0.0470588244497776,0.120261438190937,0.0287581700831652,0.0339869298040867,0.0117647061124444,0.0339869298040867,0.00762679927851619,0.0312596296478873,0.0125063034462448,0.0362982357296236,0.0549019649624825,0.139869287610054,1164.56126200133,1164.26806010383,439.143060179647,441.303241067396,1164.17303822938,439.472837022133,1154,1170,428,433,6
1,8,NA,0,1,NA,0,16127615,1928,2590,585,1.18984746572727,0.811537038336464,1,0.640531561461794,0.504781581181866,65.9388424202352,69.8713102782537,19.1049731745428,6.85215160107724,6,39.7758425059586,38.5281302563159,77.4269201411717,219.082,0.87437641723356,1,1,0,0,10.2941179722548,11.4352944847196,116.287585454062,116.405232580379,0.0470588244497776,0.0496732033789158,0.0117647051811218,0.00915032997727394,1.17241241149744,1.56088873017301,0.077124185860157,0.0888888910412788,0.163398697972298,0.10196078568697,0.0415085402107047,0.0461100584061276,0.0603151376836419,0.0603761579773748,0.0562091544270515,0.0614379085600376,0.0222222227603197,0.0235294122248888,0.0222222227603197,0.0235294122248888,0.00650847912783866,0.0141309734263625,0.0183865019864507,0.0143031965937813,0.0705882385373116,0.0705882385373116,2588.9535184336,2589.6173273474,582.788073275683,585.358090989166,2589.54771784232,583.798755186722,2583,2594,560,605,8
1,9,NA,0,1,NA,0,16127615,2533,1396,646,1.42261332829009,0.885354421818719,1,0.487115384615385,0.381146070155614,86.7608895912937,91.8368117913509,19.9248588451713,7.0870165199721,6,41.2177452934511,40.3365873948005,-59.8202284393595,288.985999999999,0.845742904841402,1,1,1,1,15.9071899577975,21.7542489431798,274.650989748538,237.862753665075,0.0640522912144661,0.0549019612371922,0.0379084944725037,0.0385620929300785,4.26653393471452,2.36601769201522,0.0758169963955879,0.175163403153419,0.294117659330368,0.190849676728249,0.0469238641822936,0.064171825791091,0.108429131365392,0.0939055482294018,0.0967320278286934,0.0934640541672707,0.0300653595477343,0.0326797403395176,0.0300653595477343,0.0300653595477343,0.0068102861873417,0.0268899045353502,0.0539837531755378,0.0394404634559212,0.143790856003761,0.13071896135807,1392.04447713045,1392.30931225352,650.399185146058,655.712681043314,1390.38847216739,654.331227793131,1386,1379,641,669,9
1,10,NA,0,1,NA,0,16127615,5180,1782,726,2.90271778406065,0.962408513869075,1,0.251554001554002,0.107949568162489,188.475078586467,171.478861671053,16.1245154965971,5.07423847011843,4.47213595499958,62.3216743089253,51.1909737124866,-45.2448010177284,776.531999999998,0.572723754768091,1,1,0,0,42.6679752059281,53.5751649346203,433.556876800023,406.342496907339,0.0549019649624825,0.0496732033789158,0.0235294103622437,0.0196078419685364,4.10688724074842,2.86275289940569,0.0967320278286934,0.223529428243637,0.273202627897263,0.256209164857864,0.0477270416173692,0.0599274775555036,0.0836982387644832,0.0784444974724592,0.0758169963955879,0.0653594806790352,0.0248366016894579,0.0274509806185961,0.0117647061124444,0.0274509806185961,0.00856103755861743,0.0287514374158553,0.0364305292260959,0.0381758313187554,0.104575164616108,0.0980392172932625,1739.26774423581,1739.08519494242,766.627510405608,769.956049802365,1736.27027027027,769.434942084942,1738,1755,761,760,10
1,11,NA,0,1,NA,0,16127615,2802,1160,804,1.68713825935822,0.918159698491188,1,0.418959330143541,0.243673967058754,101.863342547371,107.935165724615,17.6918060129541,5.74767542270838,5,45.7032111033201,40.3593268794169,-36.8556398501247,380.131999999999,0.764216555297968,1,1,1,1,20.9581706114113,33.1163408719003,180.180397918448,274.866676989943,0.0457516349852085,0.062745101749897,0.0130718946456909,0.0274509824812412,1.98609389530911,3.43658848513639,0.091503269970417,0.20522877573967,0.222222223877907,0.232679754495621,0.0469914139269312,0.0742518853630052,0.064304210534778,0.0980966013525849,0.0562091544270515,0.0888888910412788,0.0274509806185961,0.0366013087332249,0.0196078438311815,0.0366013087332249,0.00895689678039254,0.0332677060367311,0.0264170731702348,0.0434842788956898,0.0758169963955879,0.121568635106087,1162.88554678605,1164.68801032401,797.073412277528,800.200529871176,1164.84796573876,796.767665952891,1137,1161,812,817,11
